id,name,primary_muscle,secondary_muscles,movement_pattern,type,equipment,unilateral,level,gym_required,default_sets,default_reps,default_duration_sec,rest_sec,tempo,notes
64,Face Pull,Shoulders,Traps/Upper Back,Accessory,Strength,Dumbbell/Cable,0,All,1,3.0,12-20,,60,21X1,
65,Upright Row,Shoulders,Traps/Upper Back,Accessory,Strength,Dumbbell/Cable,0,All,1,3.0,12-20,,60,21X1,
66,Cable Lateral Raise,Shoulders,Traps/Upper Back,Accessory,Strength,Dumbbell/Cable,0,All,1,3.0,12-20,,60,21X1,
67,Machine Shoulder Press,Shoulders,Traps/Upper Back,Accessory,Strength,Dumbbell/Cable,0,All,1,3.0,12-20,,60,21X1,
68,Cuban Press,Shoulders,Traps/Upper Back,Accessory,Strength,Dumbbell/Cable,0,All,1,3.0,12-20,,60,21X1,
69,Snatch-Grip High Pull,Shoulders,Traps/Upper Back,Accessory,Strength,Dumbbell/Cable,0,All,1,3.0,12-20,,60,21X1,
70,YTW Raise,Shoulders,Traps/Upper Back,Accessory,Strength,Dumbbell/Cable,0,All,1,3.0,12-20,,60,21X1,
71,Plank,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
72,Side Plank,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
73,RKC Plank,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
74,Hollow Hold,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
75,Sit-Up,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
76,Crunch,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
77,Bicycle Crunch,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
78,Russian Twist,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
79,Cable Woodchop,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
80,Hanging Leg Raise,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
81,Ab Wheel Rollout,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
82,V-Up,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
83,Toe-to-Bar,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
84,Dragon Flag,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
85,Flutter Kicks,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
86,Side Bend,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
87,L-Sit,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
88,Turkish Get-Up,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
89,Pallof Press,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
90,Dead Bug,Core,Abs/Obliques,Core,Core,Bodyweight/Cable/Kettlebell,0,All,0,3.0,10-15,,60,Controlled,
91,Standing Calf Raise,Calves,Ankles,Accessory,Strength,Machine/Bodyweight,0,All,1,3.0,12-20,,60,21X1,
92,Seated Calf Raise,Calves,Ankles,Accessory,Strength,Machine/Bodyweight,0,All,1,3.0,12-20,,60,21X1,
93,Donkey Calf Raise,Calves,Ankles,Accessory,Strength,Machine/Bodyweight,0,All,1,3.0,12-20,,60,21X1,
94,Single-Leg Calf Raise,Calves,Ankles,Accessory,Strength,Machine/Bodyweight,0,All,1,3.0,12-20,,60,21X1,
95,Smith Machine Calf Raise,Calves,Ankles,Accessory,Strength,Machine/Bodyweight,0,All,1,3.0,12-20,,60,21X1,
96,Leg Press Calf Press,Calves,Ankles,Accessory,Strength,Machine/Bodyweight,0,All,1,3.0,12-20,,60,21X1,
97,Power Clean,Full Body,Explosive,Power,Strength,Barbell,0,Advanced,1,5.0,1-5,,180,Explosive,
98,Hang Clean,Full Body,Explosive,Power,Strength,Barbell,0,Advanced,1,5.0,1-5,,180,Explosive,
99,Clean and Jerk,Full Body,Explosive,Power,Strength,Barbell,0,Advanced,1,5.0,1-5,,180,Explosive,
100,Snatch,Full Body,Explosive,Power,Strength,Barbell,0,Advanced,1,5.0,1-5,,180,Explosive,
101,Hang Snatch,Full Body,Explosive,Power,Strength,Barbell,0,Advanced,1,5.0,1-5,,180,Explosive,
102,Push Jerk,Full Body,Explosive,Power,Strength,Barbell,0,Advanced,1,5.0,1-5,,180,Explosive,
103,Kettlebell Snatch,Full Body,Explosive,Strength/Power,Strength,Kettlebell,0,All,0,3.0,8-12,,90,Controlled,
104,Kettlebell Clean,Full Body,Explosive,Strength/Power,Strength,Kettlebell,0,All,0,3.0,8-12,,90,Controlled,
105,Turkish Get-Up,Full Body,Explosive,Strength/Power,Strength,Kettlebell,0,All,0,3.0,8-12,,90,Controlled,
106,Kettlebell Windmill,Full Body,Explosive,Strength/Power,Strength,Kettlebell,0,All,0,3.0,8-12,,90,Controlled,
107,Kettlebell Front Squat,Full Body,Explosive,Strength/Power,Strength,Kettlebell,0,All,0,3.0,8-12,,90,Controlled,
108,Kettlebell Deadlift,Full Body,Explosive,Strength/Power,Strength,Kettlebell,0,All,0,3.0,8-12,,90,Controlled,
109,TRX Row,Full Body,Core,Bodyweight,Strength,TRX,0,All,0,3.0,8-12,,60,Controlled,
110,TRX Push-Up,Full Body,Core,Bodyweight,Strength,TRX,0,All,0,3.0,8-12,,60,Controlled,
111,TRX Fallout,Full Body,Core,Bodyweight,Strength,TRX,0,All,0,3.0,8-12,,60,Controlled,
112,TRX Y Fly,Full Body,Core,Bodyweight,Strength,TRX,0,All,0,3.0,8-12,,60,Controlled,
113,TRX Pistol Squat,Full Body,Core,Bodyweight,Strength,TRX,0,All,0,3.0,8-12,,60,Controlled,
114,TRX Pike,Full Body,Core,Bodyweight,Strength,TRX,0,All,0,3.0,8-12,,60,Controlled,
115,Muscle-Up,Full Body,Core,Bodyweight,Strength,Bodyweight,0,Advanced,0,3.0,AMRAP,,180,Controlled,
116,Handstand Push-Up,Full Body,Core,Bodyweight,Strength,Bodyweight,0,Advanced,0,3.0,AMRAP,,180,Controlled,
117,Planche Lean,Full Body,Core,Bodyweight,Strength,Bodyweight,0,Advanced,0,3.0,AMRAP,,180,Controlled,
118,Front Lever,Full Body,Core,Bodyweight,Strength,Bodyweight,0,Advanced,0,3.0,AMRAP,,180,Controlled,
119,Back Lever,Full Body,Core,Bodyweight,Strength,Bodyweight,0,Advanced,0,3.0,AMRAP,,180,Controlled,
120,Human Flag,Full Body,Core,Bodyweight,Strength,Bodyweight,0,Advanced,0,3.0,AMRAP,,180,Controlled,
121,Treadmill Run,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
122,Treadmill Sprint,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
123,Rowing Machine,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
124,Assault Bike,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
125,Elliptical,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
126,Stair Climber,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
127,Jump Rope,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
128,Burpees,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
129,Mountain Climbers,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
130,Battle Ropes,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
131,Swimming,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
132,Cycling,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
133,Ski Erg,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
134,Farmer Carry,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
135,Sled Push,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
136,Sled Drag,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
137,Sandbag Carry,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
138,Shuttle Run,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
139,Box Jump,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
140,Jumping Jacks,Cardio,Full Body,Conditioning,Cardio,Machine/Bodyweight,0,All,0,,,5-20 min,0,Steady,
141,Couch Stretch,Mobility,Hips/Shoulders,Mobility,Mobility,Bodyweight/Band,0,All,0,,,30-60 sec,0,Controlled,
142,Pigeon Stretch,Mobility,Hips/Shoulders,Mobility,Mobility,Bodyweight/Band,0,All,0,,,30-60 sec,0,Controlled,
143,Cat-Cow,Mobility,Hips/Shoulders,Mobility,Mobility,Bodyweight/Band,0,All,0,,,30-60 sec,0,Controlled,
144,Thoracic Open Book,Mobility,Hips/Shoulders,Mobility,Mobility,Bodyweight/Band,0,All,0,,,30-60 sec,0,Controlled,
145,Wall Slide,Mobility,Hips/Shoulders,Mobility,Mobility,Bodyweight/Band,0,All,0,,,30-60 sec,0,Controlled,
146,90/90 Hip Stretch,Mobility,Hips/Shoulders,Mobility,Mobility,Bodyweight/Band,0,All,0,,,30-60 sec,0,Controlled,
147,Ankle Dorsiflexion Rock,Mobility,Hips/Shoulders,Mobility,Mobility,Bodyweight/Band,0,All,0,,,30-60 sec,0,Controlled,
148,Band Pull-Apart,Mobility,Hips/Shoulders,Mobility,Mobility,Bodyweight/Band,0,All,0,,,30-60 sec,0,Controlled,
149,Scapular Wall Slide,Mobility,Hips/Shoulders,Mobility,Mobility,Bodyweight/Band,0,All,0,,,30-60 sec,0,Controlled,
150,Hip Flexor Stretch,Mobility,Hips/Shoulders,Mobility,Mobility,Bodyweight/Band,0,All,0,,,30-60 sec,0,Controlled,
151,Shoulder Dislocate,Mobility,Hips/Shoulders,Mobility,Mobility,Bodyweight/Band,0,All,0,,,30-60 sec,0,Controlled,
152,World’s Greatest Stretch,Mobility,Hips/Shoulders,Mobility,Mobility,Bodyweight/Band,0,All,0,,,30-60 sec,0,Controlled,
